datasetname,avg_supp,kl_supp,wkl_supp,avg_usg,kl_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,avg_items,wkl_sum,length_orig,length_final,length_ratio,runtime,maxdepth
dee,87.8571,1.5247,98.6764,49.0,1.4935,63.188,73.9269,36.7584,0.1901,7,1.7143,442.3163,728.4986,424.8527,0.5832,7.1316,3
dee,89.625,1.5933,92.3592,42.25,1.6076,61.4734,68.2799,34.4987,0.1559,8,2.25,491.7874,728.4986,442.2777,0.6071,12.8412,4
dee,89.625,1.5933,92.3592,42.25,1.6076,61.4734,68.2799,34.4987,0.1559,8,2.25,491.7874,728.4986,442.2777,0.6071,18.4504,5
dee,89.625,1.5933,92.3592,42.25,1.6076,61.4734,68.2799,34.4987,0.1559,8,2.25,491.7874,728.4986,442.2777,0.6071,20.487,6
dee,89.625,1.5933,92.3592,42.25,1.6076,61.4734,68.2799,34.4987,0.1559,8,2.25,491.7874,728.4986,442.2777,0.6071,21.1827,7
dee,89.625,1.5933,92.3592,42.25,1.6076,61.4734,68.2799,34.4987,0.1559,8,2.25,491.7874,728.4986,442.2777,0.6071,20.8014,8
dee,89.625,1.5933,92.3592,42.25,1.6076,61.4734,68.2799,34.4987,0.1559,8,2.25,491.7874,728.4986,442.2777,0.6071,22.6337,9
dee,89.625,1.5933,92.3592,42.25,1.6076,61.4734,68.2799,34.4987,0.1559,8,2.25,491.7874,728.4986,442.2777,0.6071,21.2623,10
dee,89.625,1.5933,92.3592,42.25,1.6076,61.4734,68.2799,34.4987,0.1559,8,2.25,491.7874,728.4986,442.2777,0.6071,16.6956,11
ele-1,186.5714,0.9502,130.3221,69.2857,1.0246,75.9461,132001.2727,52410.5261,0.3186,7,1.0,531.6227,6048.2207,5685.7649,0.9401,0.0938,1
ele-1,132.1429,1.6703,146.1694,66.2857,1.5924,82.6633,123109.0918,52125.832,0.2224,7,1.8571,578.6431,6048.2207,5647.9563,0.9338,0.6733,2
ele-1,132.1429,1.6703,146.1694,66.2857,1.5924,82.6633,123109.0918,52125.832,0.2224,7,1.8571,578.6431,6048.2207,5647.9563,0.9338,0.7513,3
ele-1,132.1429,1.6703,146.1694,66.2857,1.5924,82.6633,123109.0918,52125.832,0.2224,7,1.8571,578.6431,6048.2207,5647.9563,0.9338,0.7011,4
ele-1,132.1429,1.6703,146.1694,66.2857,1.5924,82.6633,123109.0918,52125.832,0.2224,7,1.8571,578.6431,6048.2207,5647.9563,0.9338,0.7043,5
ele-1,132.1429,1.6703,146.1694,66.2857,1.5924,82.6633,123109.0918,52125.832,0.2224,7,1.8571,578.6431,6048.2207,5647.9563,0.9338,0.7506,6
ele-1,132.1429,1.6703,146.1694,66.2857,1.5924,82.6633,123109.0918,52125.832,0.2224,7,1.8571,578.6431,6048.2207,5647.9563,0.9338,0.6149,7
ele-1,132.1429,1.6703,146.1694,66.2857,1.5924,82.6633,123109.0918,52125.832,0.2224,7,1.8571,578.6431,6048.2207,5647.9563,0.9338,0.3915,8
ele-1,132.1429,1.6703,146.1694,66.2857,1.5924,82.6633,123109.0918,52125.832,0.2224,7,1.8571,578.6431,6048.2207,5647.9563,0.9338,0.5626,9
ele-1,132.1429,1.6703,146.1694,66.2857,1.5924,82.6633,123109.0918,52125.832,0.2224,7,1.8571,578.6431,6048.2207,5647.9563,0.9338,0.6438,10
ele-1,132.1429,1.6703,146.1694,66.2857,1.5924,82.6633,123109.0918,52125.832,0.2224,7,1.8571,578.6431,6048.2207,5647.9563,0.9338,0.5484,11
